State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change
6,37,1103,88101,1,34.06659,-118.22688,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,2000,Micrograms/cubic meter (LC),No Events,334,91,Y,334,366,0,30,42,42,Uncertified (past due),0,22.018263,14.332927,87.8,2000-12-01 0:00,84.6,2000-10-20 0:00,80.8,2000-12-24 0:00,75.5,2000-11-30 0:00,,,,,75.5,72.8,54.2,36.4,25.7,18.4,9.3,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",2024-05-19
6,37,1103,88101,1,34.06659,-118.22688,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2024,Daily Mean,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,2000,Micrograms/cubic meter (LC),No Events,334,91,Y,334,366,0,30,42,42,Uncertified (past due),0,22.018263,14.332927,87.8,2000-12-01 0:00,84.6,2000-10-20 0:00,80.8,2000-12-24 0:00,75.5,2000-11-30 0:00,,,,,75.5,72.8,54.2,36.4,25.7,18.4,9.3,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",2024-05-19
6,37,1201,88101,1,34.19925,-118.53276,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 1997,Daily Mean,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,2000,Micrograms/cubic meter (LC),No Events,108,89,Y,108,122,0,14,2,2,Uncertified (past due),0,18.100926,11.787904,67.5,2000-12-23 0:00,65.8,2000-11-29 0:00,50,2000-01-10 0:00,47.3,2000-01-01 0:00,,,,,65.8,50,42.7,32.3,21.5,15.4,6.7,Reseda,"18330 GAULT ST., RESEDA",California,Los Angeles,Reseda,"Los Angeles-Long Beach-Anaheim, CA",2024-05-19
6,37,1201,88101,1,34.19925,-118.53276,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2006,Daily Mean,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,2000,Micrograms/cubic meter (LC),No Events,108,89,Y,108,122,0,14,9,9,Uncertified (past due),0,18.100926,11.787904,67.5,2000-12-23 0:00,65.8,2000-11-29 0:00,50,2000-01-10 0:00,47.3,2000-01-01 0:00,,,,,65.8,50,42.7,32.3,21.5,15.4,6.7,Reseda,"18330 GAULT ST., RESEDA",California,Los Angeles,Reseda,"Los Angeles-Long Beach-Anaheim, CA",2024-05-19
6,37,1201,88101,1,34.19925,-118.53276,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,2000,Micrograms/cubic meter (LC),No Events,108,89,Y,108,122,0,14,9,9,Uncertified (past due),0,18.100926,11.787904,67.5,2000-12-23 0:00,65.8,2000-11-29 0:00,50,2000-01-10 0:00,47.3,2000-01-01 0:00,,,,,65.8,50,42.7,32.3,21.5,15.4,6.7,Reseda,"18330 GAULT ST., RESEDA",California,Los Angeles,Reseda,"Los Angeles-Long Beach-Anaheim, CA",2024-05-19
6,37,1201,88101,1,34.19925,-118.53276,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2024,Daily Mean,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,2000,Micrograms/cubic meter (LC),No Events,108,89,Y,108,122,0,14,9,9,Uncertified (past due),0,18.100926,11.787904,67.5,2000-12-23 0:00,65.8,2000-11-29 0:00,50,2000-01-10 0:00,47.3,2000-01-01 0:00,,,,,65.8,50,42.7,32.3,21.5,15.4,6.7,Reseda,"18330 GAULT ST., RESEDA",California,Los Angeles,Reseda,"Los Angeles-Long Beach-Anaheim, CA",2024-05-19
6,37,1301,88101,1,33.92899,-118.21071,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 1997,Daily Mean,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,2000,Micrograms/cubic meter (LC),No Events,121,99,Y,121,122,0,1,2,2,Uncertified (past due),0,22.982645,13.744076,82.1,2000-12-02 0:00,68.6,2000-01-01 0:00,62.8,2000-12-23 0:00,62.5,2000-01-10 0:00,,,,,68.6,62.8,53.5,37.4,27.7,19,10.2,Lynwood,"11220 LONG BEACH BLVD., LYNWOOD",California,Los Angeles,Lynwood,"Los Angeles-Long Beach-Anaheim, CA",2024-05-19
6,37,1301,88101,1,33.92899,-118.21071,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2006,Daily Mean,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,2000,Micrograms/cubic meter (LC),No Events,121,99,Y,121,122,0,1,17,17,Uncertified (past due),0,22.982645,13.744076,82.1,2000-12-02 0:00,68.6,2000-01-01 0:00,62.8,2000-12-23 0:00,62.5,2000-01-10 0:00,,,,,68.6,62.8,53.5,37.4,27.7,19,10.2,Lynwood,"11220 LONG BEACH BLVD., LYNWOOD",California,Los Angeles,Lynwood,"Los Angeles-Long Beach-Anaheim, CA",2024-05-19
6,37,1301,88101,1,33.92899,-118.21071,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,2000,Micrograms/cubic meter (LC),No Events,121,99,Y,121,122,0,1,17,17,Uncertified (past due),0,22.982645,13.744076,82.1,2000-12-02 0:00,68.6,2000-01-01 0:00,62.8,2000-12-23 0:00,62.5,2000-01-10 0:00,,,,,68.6,62.8,53.5,37.4,27.7,19,10.2,Lynwood,"11220 LONG BEACH BLVD., LYNWOOD",California,Los Angeles,Lynwood,"Los Angeles-Long Beach-Anaheim, CA",2024-05-19
6,37,1301,88101,1,33.92899,-118.21071,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2024,Daily Mean,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,2000,Micrograms/cubic meter (LC),No Events,121,99,Y,121,122,0,1,17,17,Uncertified (past due),0,22.982645,13.744076,82.1,2000-12-02 0:00,68.6,2000-01-01 0:00,62.8,2000-12-23 0:00,62.5,2000-01-10 0:00,,,,,68.6,62.8,53.5,37.4,27.7,19,10.2,Lynwood,"11220 LONG BEACH BLVD., LYNWOOD",California,Los Angeles,Lynwood,"Los Angeles-Long Beach-Anaheim, CA",2024-05-19
6,37,1601,88101,1,34.01407,-118.06056,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 1997,Daily Mean,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,2000,Micrograms/cubic meter (LC),No Events,116,95,Y,116,122,0,6,4,4,Uncertified (past due),0,24.112069,14.849325,89.5,2000-12-02 0:00,78,2000-12-23 0:00,70.8,2000-11-29 0:00,68.1,2000-01-10 0:00,,,,,78,70.8,56,42.5,29.4,20.7,10.8,Pico Rivera,"3713 SAN GABRIEL RIVER PKWY, PICO RIVERA",California,Los Angeles,Pico Rivera,"Los Angeles-Long Beach-Anaheim, CA",2024-05-19
6,37,1601,88101,1,34.01407,-118.06056,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2006,Daily Mean,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,2000,Micrograms/cubic meter (LC),No Events,116,95,Y,116,122,0,6,15,15,Uncertified (past due),0,24.112069,14.849325,89.5,2000-12-02 0:00,78,2000-12-23 0:00,70.8,2000-11-29 0:00,68.1,2000-01-10 0:00,,,,,78,70.8,56,42.5,29.4,20.7,10.8,Pico Rivera,"3713 SAN GABRIEL RIVER PKWY, PICO RIVERA",California,Los Angeles,Pico Rivera,"Los Angeles-Long Beach-Anaheim, CA",2024-05-19
6,37,1601,88101,1,34.01407,-118.06056,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,2000,Micrograms/cubic meter (LC),No Events,116,95,Y,116,122,0,6,15,15,Uncertified (past due),0,24.112069,14.849325,89.5,2000-12-02 0:00,78,2000-12-23 0:00,70.8,2000-11-29 0:00,68.1,2000-01-10 0:00,,,,,78,70.8,56,42.5,29.4,20.7,10.8,Pico Rivera,"3713 SAN GABRIEL RIVER PKWY, PICO RIVERA",California,Los Angeles,Pico Rivera,"Los Angeles-Long Beach-Anaheim, CA",2024-05-19
6,37,1601,88101,1,34.01407,-118.06056,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2024,Daily Mean,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,2000,Micrograms/cubic meter (LC),No Events,116,95,Y,116,122,0,6,15,15,Uncertified (past due),0,24.112069,14.849325,89.5,2000-12-02 0:00,78,2000-12-23 0:00,70.8,2000-11-29 0:00,68.1,2000-01-10 0:00,,,,,78,70.8,56,42.5,29.4,20.7,10.8,Pico Rivera,"3713 SAN GABRIEL RIVER PKWY, PICO RIVERA",California,Los Angeles,Pico Rivera,"Los Angeles-Long Beach-Anaheim, CA",2024-05-19
6,37,2005,88101,1,34.1326,-118.1272,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 1997,Daily Mean,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,2000,Micrograms/cubic meter (LC),No Events,110,90,Y,110,122,0,12,1,1,Uncertified (past due),0,19.310909,11.953982,66.3,2000-10-18 0:00,63.7,2000-12-02 0:00,54,2000-03-16 0:00,52.2,2000-11-29 0:00,,,,,63.7,54,49.1,31.5,24,16.9,7.8,Pasadena,"752 S. WILSON AVE., PASADENA",California,Los Angeles,Pasadena,"Los Angeles-Long Beach-Anaheim, CA",2024-05-19
6,37,2005,88101,1,34.1326,-118.1272,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2006,Daily Mean,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,2000,Micrograms/cubic meter (LC),No Events,110,90,Y,110,122,0,12,7,7,Uncertified (past due),0,19.310909,11.953982,66.3,2000-10-18 0:00,63.7,2000-12-02 0:00,54,2000-03-16 0:00,52.2,2000-11-29 0:00,,,,,63.7,54,49.1,31.5,24,16.9,7.8,Pasadena,"752 S. WILSON AVE., PASADENA",California,Los Angeles,Pasadena,"Los Angeles-Long Beach-Anaheim, CA",2024-05-19
6,37,2005,88101,1,34.1326,-118.1272,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,2000,Micrograms/cubic meter (LC),No Events,110,90,Y,110,122,0,12,7,7,Uncertified (past due),0,19.310909,11.953982,66.3,2000-10-18 0:00,63.7,2000-12-02 0:00,54,2000-03-16 0:00,52.2,2000-11-29 0:00,,,,,63.7,54,49.1,31.5,24,16.9,7.8,Pasadena,"752 S. WILSON AVE., PASADENA",California,Los Angeles,Pasadena,"Los Angeles-Long Beach-Anaheim, CA",2024-05-19
6,37,2005,88101,1,34.1326,-118.1272,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2024,Daily Mean,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,2000,Micrograms/cubic meter (LC),No Events,110,90,Y,110,122,0,12,7,7,Uncertified (past due),0,19.310909,11.953982,66.3,2000-10-18 0:00,63.7,2000-12-02 0:00,54,2000-03-16 0:00,52.2,2000-11-29 0:00,,,,,63.7,54,49.1,31.5,24,16.9,7.8,Pasadena,"752 S. WILSON AVE., PASADENA",California,Los Angeles,Pasadena,"Los Angeles-Long Beach-Anaheim, CA",2024-05-19
6,37,4002,88101,1,33.82376,-118.18921,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 1997,Daily Mean,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,2000,Micrograms/cubic meter (LC),No Events,304,83,N,304,366,0,58,4,4,Uncertified (past due),0,19.164803,13.331059,81.5,2000-12-01 0:00,74.5,2000-11-30 0:00,69.3,2000-12-31 0:00,65.5,2000-01-09 0:00,,,,,65.5,64.3,48.3,38.2,22.3,15.3,7.6,Long Beach (North),"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,"Los Angeles-Long Beach-Anaheim, CA",2024-05-19
6,37,4002,88101,1,33.82376,-118.18921,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2006,Daily Mean,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,2000,Micrograms/cubic meter (LC),No Events,304,83,N,304,366,0,58,34,34,Uncertified (past due),0,19.164803,13.331059,81.5,2000-12-01 0:00,74.5,2000-11-30 0:00,69.3,2000-12-31 0:00,65.5,2000-01-09 0:00,,,,,65.5,64.3,48.3,38.2,22.3,15.3,7.6,Long Beach (North),"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,"Los Angeles-Long Beach-Anaheim, CA",2024-05-19
6,37,4002,88101,1,33.82376,-118.18921,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,2000,Micrograms/cubic meter (LC),No Events,304,83,N,304,366,0,58,34,34,Uncertified (past due),0,19.164803,13.331059,81.5,2000-12-01 0:00,74.5,2000-11-30 0:00,69.3,2000-12-31 0:00,65.5,2000-01-09 0:00,,,,,65.5,64.3,48.3,38.2,22.3,15.3,7.6,Long Beach (North),"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,"Los Angeles-Long Beach-Anaheim, CA",2024-05-19
6,37,4002,88101,1,33.82376,-118.18921,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2024,Daily Mean,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,2000,Micrograms/cubic meter (LC),No Events,304,83,N,304,366,0,58,34,34,Uncertified (past due),0,19.164803,13.331059,81.5,2000-12-01 0:00,74.5,2000-11-30 0:00,69.3,2000-12-31 0:00,65.5,2000-01-09 0:00,,,,,65.5,64.3,48.3,38.2,22.3,15.3,7.6,Long Beach (North),"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,"Los Angeles-Long Beach-Anaheim, CA",2024-05-19
6,37,9002,88101,1,34.689985,-118.13285,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 1997,Daily Mean,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,2000,Micrograms/cubic meter (LC),No Events,113,93,Y,113,122,0,0,0,0,Uncertified (past due),0,10.50354,4.601008,36,2000-12-11 0:00,25,2000-12-23 0:00,21,2000-11-29 0:00,19.4,2000-05-21 0:00,,,,,25,21,17.9,15,13,10,5.7,Lancaster-Ponderosa St.,"315 W. PONDERA ST., LANCASTER, CA",California,Los Angeles,Lancaster,"Los Angeles-Long Beach-Anaheim, CA",2024-05-19
6,37,9002,88101,1,34.689985,-118.13285,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2006,Daily Mean,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,2000,Micrograms/cubic meter (LC),No Events,113,93,Y,113,122,0,0,1,1,Uncertified (past due),0,10.50354,4.601008,36,2000-12-11 0:00,25,2000-12-23 0:00,21,2000-11-29 0:00,19.4,2000-05-21 0:00,,,,,25,21,17.9,15,13,10,5.7,Lancaster-Ponderosa St.,"315 W. PONDERA ST., LANCASTER, CA",California,Los Angeles,Lancaster,"Los Angeles-Long Beach-Anaheim, CA",2024-05-19
6,37,9002,88101,1,34.689985,-118.13285,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,2000,Micrograms/cubic meter (LC),No Events,113,93,Y,113,122,0,0,1,1,Uncertified (past due),0,10.50354,4.601008,36,2000-12-11 0:00,25,2000-12-23 0:00,21,2000-11-29 0:00,19.4,2000-05-21 0:00,,,,,25,21,17.9,15,13,10,5.7,Lancaster-Ponderosa St.,"315 W. PONDERA ST., LANCASTER, CA",California,Los Angeles,Lancaster,"Los Angeles-Long Beach-Anaheim, CA",2024-05-19
6,37,9002,88101,1,34.689985,-118.13285,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2024,Daily Mean,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,2000,Micrograms/cubic meter (LC),No Events,113,93,Y,113,122,0,0,1,1,Uncertified (past due),0,10.50354,4.601008,36,2000-12-11 0:00,25,2000-12-23 0:00,21,2000-11-29 0:00,19.4,2000-05-21 0:00,,,,,25,21,17.9,15,13,10,5.7,Lancaster-Ponderosa St.,"315 W. PONDERA ST., LANCASTER, CA",California,Los Angeles,Lancaster,"Los Angeles-Long Beach-Anaheim, CA",2024-05-19
