State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Date Local,Units of Measure,Event Type,Observation Count,Observation Percent,Arithmetic Mean,1st Max Value,1st Max Hour,AQI,Method Code,Method Name,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change
6,37,1103,88101,1,34.06659,-118.22688,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,11/13/17,Micrograms/cubic meter (LC),None,1,100,20,20,0,71,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",5/18/24
6,37,1103,88101,1,34.06659,-118.22688,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,11/14/17,Micrograms/cubic meter (LC),None,1,100,15.7,15.7,0,63,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",5/18/24
6,37,1103,88101,1,34.06659,-118.22688,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,11/15/17,Micrograms/cubic meter (LC),None,1,100,19.5,19.5,0,70,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",5/18/24
6,37,1103,88101,1,34.06659,-118.22688,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,11/16/17,Micrograms/cubic meter (LC),None,1,100,14.6,14.6,0,61,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",5/18/24
6,37,1103,88101,1,34.06659,-118.22688,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,11/17/17,Micrograms/cubic meter (LC),None,1,100,6.1,6.1,0,34,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",5/18/24
6,37,1103,88101,1,34.06659,-118.22688,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,11/18/17,Micrograms/cubic meter (LC),None,1,100,6.4,6.4,0,36,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",5/18/24
6,37,1103,88101,1,34.06659,-118.22688,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,11/19/17,Micrograms/cubic meter (LC),None,1,100,6.8,6.8,0,38,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",5/18/24
6,37,1103,88101,1,34.06659,-118.22688,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,11/20/17,Micrograms/cubic meter (LC),None,1,100,11.8,11.8,0,56,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",5/18/24
6,37,1103,88101,1,34.06659,-118.22688,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,11/21/17,Micrograms/cubic meter (LC),None,1,100,11.4,11.4,0,55,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",5/18/24
6,37,1103,88101,1,34.06659,-118.22688,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,11/22/17,Micrograms/cubic meter (LC),None,1,100,6.4,6.4,0,36,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",5/18/24
6,37,1103,88101,1,34.06659,-118.22688,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,11/23/17,Micrograms/cubic meter (LC),None,1,100,7.5,7.5,0,42,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",5/18/24
6,37,1103,88101,1,34.06659,-118.22688,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,11/24/17,Micrograms/cubic meter (LC),None,1,100,14.8,14.8,0,62,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",5/18/24
6,37,1103,88101,1,34.06659,-118.22688,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,11/25/17,Micrograms/cubic meter (LC),None,1,100,19.8,19.8,0,71,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",5/18/24
6,37,1103,88101,1,34.06659,-118.22688,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,11/26/17,Micrograms/cubic meter (LC),None,1,100,36.8,36.8,0,104,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",5/18/24
6,37,1103,88101,1,34.06659,-118.22688,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,11/27/17,Micrograms/cubic meter (LC),None,1,100,15.4,15.4,0,63,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",5/18/24
6,37,1103,88101,1,34.06659,-118.22688,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,11/28/17,Micrograms/cubic meter (LC),None,1,100,9.3,9.3,0,51,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",5/18/24
6,37,1103,88101,1,34.06659,-118.22688,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,11/29/17,Micrograms/cubic meter (LC),None,1,100,12.1,12.1,0,57,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",5/18/24
6,37,1103,88101,1,34.06659,-118.22688,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,11/30/17,Micrograms/cubic meter (LC),None,1,100,14.2,14.2,0,61,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",5/18/24
6,37,1103,88101,1,34.06659,-118.22688,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,12/1/17,Micrograms/cubic meter (LC),None,1,100,14.1,14.1,0,60,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",5/18/24
6,37,1103,88101,1,34.06659,-118.22688,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,12/2/17,Micrograms/cubic meter (LC),None,1,100,14.9,14.9,0,62,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",5/18/24
